
Line No.    Lexeme                          Token                   HasVal    Value          
25          voltage                         TK_FIELDID              no        ----           
25          ;                               TK_SEM                  no        ----           
26          endunion                        TK_ENDUNION             no        ----           
28          record                          TK_RECORD               no        ----           
28          #vehicle                        TK_RUID                 no        ----           
29          type                            TK_TYPE                 no        ----           
29          int                             TK_INT                  no        ----           
29          :                               TK_COLON                no        ----           
29          id                              TK_FIELDID              no        ----           
29          ;                               TK_SEM                  no        ----           
30          type                            TK_TYPE                 no        ----           
30          #motor                          TK_RUID                 no        ----           
30          :                               TK_COLON                no        ----           
30          enginedata                      TK_FIELDID              no        ----           
30          ;                               TK_SEM                  no        ----           
31          type                            TK_TYPE                 no        ----           
31          #chassis                        TK_RUID                 no        ----           
31          :                               TK_COLON                no        ----           
31          bodydata                        TK_FIELDID              no        ----           
31          ;                               TK_SEM                  no        ----           
32          type                            TK_TYPE                 no        ----           
32          #detector                       TK_RUID                 no        ----           
32          :                               TK_COLON                no        ----           
32          sensordata                      TK_FIELDID              no        ----           
32          ;                               TK_SEM                  no        ----           
33          endrecord                       TK_ENDRECORD            no        ----           
35          %                               TK_COMMENT              no        ----           
36          %                               TK_COMMENT              no        ----           
37          %                               TK_COMMENT              no        ----           
38          %                               TK_COMMENT              no        ----           
39          _calculate777                   TK_FUNID                no        ----           
39          power                           TK_FIELDID              no        ----           
39          input                           TK_INPUT                no        ----           
39          parameter                       TK_PARAMETER            no        ----           
39          list                            TK_LIST                 no        ----           
39          [                               TK_SQL                  no        ----           
39          int                             TK_INT                  no        ----           
39          b2b2                            TK_ID                   no        ----           
39          ,                               TK_COMMA                no        ----           
39          real                            TK_REAL                 no        ----           
39          c2c2                            TK_ID                   no        ----           
39          ]                               TK_SQR                  no        ----           
40          output                          TK_OUTPUT               no        ----           
40          parameter                       TK_PARAMETER            no        ----           
40          list                            TK_LIST                 no        ----           
40          [                               TK_SQL                  no        ----           
40          real                            TK_REAL                 no        ----           
40          d2d2                            TK_ID                   no        ----           
40          ]                               TK_SQR                  no        ----           
40          ;                               TK_SEM                  no        ----           
41          type                            TK_TYPE                 no        ----           
41          real                            TK_REAL                 no        ----           
41          :                               TK_COLON                no        ----           
41          c3c3                            TK_ID                   no        ----           
41          ;                               TK_SEM                  no        ----           
42          c3c3                            TK_ID                   no        ----           
42          <---                            TK_ASSIGNOP             no        ----           
42          1.50E+01                        TK_RNUM                 yes       15.0000        
42          ;                               TK_SEM                  no        ----           
43          d2d2                            TK_ID                   no        ----           
43          <---                            TK_ASSIGNOP             no        ----           
43          (                               TK_OP                   no        ----           
43          c2c2                            TK_ID                   no        ----           
43          *                               TK_MUL                  no        ----           
43          c3c3                            TK_ID                   no        ----           
43          )                               TK_CL                   no        ----           
43          +                               TK_PLUS                 no        ----           
43          (                               TK_OP                   no        ----           
43          b2b2                            TK_ID                   no        ----           
43          /                               TK_DIV                  no        ----           
43          2                               TK_NUM                  yes       2              
43          )                               TK_CL                   no        ----           
43          ;                               TK_SEM                  no        ----           
44          return                          TK_RETURN               no        ----           
44          [                               TK_SQL                  no        ----           
44          d2d2                            TK_ID                   no        ----           
44          ]                               TK_SQR                  no        ----           
44          ;                               TK_SEM                  no        ----           
45          end                             TK_END                  no        ----           
47          %                               TK_COMMENT              no        ----           
48          _verify999                      TK_FUNID                no        ----           
48          status                          TK_FIELDID              no        ----           
48          input                           TK_INPUT                no        ----           
48          parameter                       TK_PARAMETER            no        ----           
48          list                            TK_LIST                 no        ----           
48          [                               TK_SQL                  no        ----           
48          real                            TK_REAL                 no        ----           
48          c2c2                            TK_ID                   no        ----           
48          ]                               TK_SQR                  no        ----           
49          output                          TK_OUTPUT               no        ----           
49          parameter                       TK_PARAMETER            no        ----           
49          list                            TK_LIST                 no        ----           
49          [                               TK_SQL                  no        ----           
49          int                             TK_INT                  no        ----           
49          b3b3                            TK_ID                   no        ----           
49          ]                               TK_SQR                  no        ----           
49          ;                               TK_SEM                  no        ----           
50          if                              TK_IF                   no        ----           
50          (                               TK_OP                   no        ----           
50          c2c2                            TK_ID                   no        ----           
50          >=                              TK_GE                   no        ----           
50          12.00                           TK_RNUM                 yes       12.0000        
50          )                               TK_CL                   no        ----           
50          then                            TK_THEN                 no        ----           
51          b3b3                            TK_ID                   no        ----           
51          <---                            TK_ASSIGNOP             no        ----           
51          1                               TK_NUM                  yes       1              
51          ;                               TK_SEM                  no        ----           
52          else                            TK_ELSE                 no        ----           
53          b3b3                            TK_ID                   no        ----           
53          <---                            TK_ASSIGNOP             no        ----           
53          0                               TK_NUM                  yes       0              
53          ;                               TK_SEM                  no        ----           
54          endif                           TK_ENDIF                no        ----           
55          return                          TK_RETURN               no        ----           
55          [                               TK_SQL                  no        ----           
55          b3b3                            TK_ID                   no        ----           
55          ]                               TK_SQR                  no        ----           
55          ;                               TK_SEM                  no        ----           
56          end                             TK_END                  no        ----           
58          %                               TK_COMMENT              no        ----           
59          %                               TK_COMMENT              no        ----           
60          %                               TK_COMMENT              no        ----           
61          _main                           TK_MAIN                 no        ----           
62          %                               TK_COMMENT              no        ----           
63          type                            TK_TYPE                 no        ----           
63          record                          TK_RECORD               no        ----           
63          #vehicle                        TK_RUID                 no        ----           
63          :                               TK_COLON                no        ----           
63          b2b2                            TK_ID                   no        ----           
63          ;                               TK_SEM                  no        ----           
64          type                            TK_TYPE                 no        ----           
64          record                          TK_RECORD               no        ----           
64          #vehicle                        TK_RUID                 no        ----           
64          :                               TK_COLON                no        ----           
64          b3b3                            TK_ID                   no        ----           
64          ;                               TK_SEM                  no        ----           
65          type                            TK_TYPE                 no        ----           
65          record                          TK_RECORD               no        ----           
65          #vehicle                        TK_RUID                 no        ----           
65          :                               TK_COLON                no        ----           
65          b4b4                            TK_ID                   no        ----           
65          ;                               TK_SEM                  no        ----           
66          type                            TK_TYPE                 no        ----           
66          record                          TK_RECORD               no        ----           
66          #vehicle                        TK_RUID                 no        ----           
66          :                               TK_COLON                no        ----           
66          b5b5                            TK_ID                   no        ----           
66          ;                               TK_SEM                  no        ----           
67          type                            TK_TYPE                 no        ----           
67          record                          TK_RECORD               no        ----           
67          #vehicle                        TK_RUID                 no        ----           
67          :                               TK_COLON                no        ----           
67          c2c2                            TK_ID                   no        ----           
67          ;                               TK_SEM                  no        ----           
69          type                            TK_TYPE                 no        ----           
69          int                             TK_INT                  no        ----           
69          :                               TK_COLON                no        ----           
69          d2d2                            TK_ID                   no        ----           
69          :                               TK_COLON                no        ----           
69          global                          TK_GLOBAL               no        ----           
69          ;                               TK_SEM                  no        ----           
70          type                            TK_TYPE                 no        ----           
70          int                             TK_INT                  no        ----           
70          :                               TK_COLON                no        ----           
70          d3d3                            TK_ID                   no        ----           
70          ;                               TK_SEM                  no        ----           
71          type                            TK_TYPE                 no        ----           
71          real                            TK_REAL                 no        ----           
71          :                               TK_COLON                no        ----           
71          c4c4                            TK_ID                   no        ----           
71          ;                               TK_SEM                  no        ----           
72          type                            TK_TYPE                 no        ----           
72          real                            TK_REAL                 no        ----           
72          :                               TK_COLON                no        ----           
72          c5c5                            TK_ID                   no        ----           
72          ;                               TK_SEM                  no        ----           
74          %                               TK_COMMENT              no        ----           
75          b2b2                            TK_ID                   no        ----           
75          .                               TK_DOT                  no        ----           
75          id                              TK_FIELDID              no        ----           
75          <---                            TK_ASSIGNOP             no        ----           
75          1001                            TK_NUM                  yes       1001           
75          ;                               TK_SEM                  no        ----           
76          b2b2                            TK_ID                   no        ----           
76          .                               TK_DOT                  no        ----           
76          enginedata                      TK_FIELDID              no        ----           
76          .                               TK_DOT                  no        ----           
76          horsepower                      TK_FIELDID              no        ----           
76          <---                            TK_ASSIGNOP             no        ----           
76          450                             TK_NUM                  yes       450            
76          ;                               TK_SEM                  no        ----           
77          b2b2                            TK_ID                   no        ----           
77          .                               TK_DOT                  no        ----           
77          enginedata                      TK_FIELDID              no        ----           
77          .                               TK_DOT                  no        ----           
77          displacement                    TK_FIELDID              no        ----           
77          <---                            TK_ASSIGNOP             no        ----           
77          5.00                            TK_RNUM                 yes       5.0000         
77          ;                               TK_SEM                  no        ----           
78          b2b2                            TK_ID                   no        ----           
78          .                               TK_DOT                  no        ----           
78          enginedata                      TK_FIELDID              no        ----           
78          .                               TK_DOT                  no        ----           
78          cylinders                       TK_FIELDID              no        ----           
78          <---                            TK_ASSIGNOP             no        ----           
78          8                               TK_NUM                  yes       8              
78          ;                               TK_SEM                  no        ----           
79          b2b2                            TK_ID                   no        ----           
79          .                               TK_DOT                  no        ----           
79          bodydata                        TK_FIELDID              no        ----           
79          .                               TK_DOT                  no        ----           
79          weight                          TK_FIELDID              no        ----           
79          <---                            TK_ASSIGNOP             no        ----           
79          2500                            TK_NUM                  yes       2500           
79          ;                               TK_SEM                  no        ----           
80          b2b2                            TK_ID                   no        ----           
80          .                               TK_DOT                  no        ----           
80          bodydata                        TK_FIELDID              no        ----           
80          .                               TK_DOT                  no        ----           
80          length                          TK_FIELDID              no        ----           
80          <---                            TK_ASSIGNOP             no        ----           
80          15.50                           TK_RNUM                 yes       15.5000        
80          ;                               TK_SEM                  no        ----           
81          b2b2                            TK_ID                   no        ----           
81          .                               TK_DOT                  no        ----           
81          bodydata                        TK_FIELDID              no        ----           
81          .                               TK_DOT                  no        ----           
81          width                           TK_FIELDID              no        ----           
81          <---                            TK_ASSIGNOP             no        ----           
81          6.00                            TK_RNUM                 yes       6.0000         
81          ;                               TK_SEM                  no        ----           
82          b2b2                            TK_ID                   no        ----           
82          .                               TK_DOT                  no        ----           
82          sensordata                      TK_FIELDID              no        ----           
82          .                               TK_DOT                  no        ----           
82          isactive                        TK_FIELDID              no        ----           
82          <---                            TK_ASSIGNOP             no        ----           
82          1                               TK_NUM                  yes       1              
82          ;                               TK_SEM                  no        ----           
84          %                               TK_COMMENT              no        ----           
85          %                               TK_COMMENT              no        ----           
86          %                               TK_COMMENT              no        ----           
87          %                               TK_COMMENT              no        ----           
88          [                               TK_SQL                  no        ----           
88          c4c4                            TK_ID                   no        ----           
88          ]                               TK_SQR                  no        ----           
88          <---                            TK_ASSIGNOP             no        ----           
88          call                            TK_CALL                 no        ----           
88          _calculate777                   TK_FUNID                no        ----           
88          extra                           TK_FIELDID              no        ----           
88          with                            TK_WITH                 no        ----           
88          parameters                      TK_PARAMETERS           no        ----           
88          [                               TK_SQL                  no        ----           
88          b2b2                            TK_ID                   no        ----           
88          .                               TK_DOT                  no        ----           
88          enginedata                      TK_FIELDID              no        ----           
88          .                               TK_DOT                  no        ----           
88          horsepower                      TK_FIELDID              no        ----           
88          ,                               TK_COMMA                no        ----           
88          b2b2                            TK_ID                   no        ----           
88          .                               TK_DOT                  no        ----           
88          enginedata                      TK_FIELDID              no        ----           
88          .                               TK_DOT                  no        ----           
88          displacement                    TK_FIELDID              no        ----           
88          ]                               TK_SQR                  no        ----           
88          ;                               TK_SEM                  no        ----           
90          %                               TK_COMMENT              no        ----           
91          %                               TK_COMMENT              no        ----           
92          %                               TK_COMMENT              no        ----           
93          %                               TK_COMMENT              no        ----           
94          b2                              TK_ID                   no        ----           
94          v                               TK_FIELDID              no        ----           
94          1                               TK_NUM                  yes       1              
94          <---                            TK_ASSIGNOP             no        ----           
94          1002                            TK_NUM                  yes       1002           
94          ;                               TK_SEM                  no        ----           
96          %                               TK_COMMENT              no        ----           
97          b4b4                            TK_ID                   no        ----           
97          .                               TK_DOT                  no        ----           
97          id                              TK_FIELDID              no        ----           
97          <---                            TK_ASSIGNOP             no        ----           
97          1003                            TK_NUM                  yes       1003           
97          ;                               TK_SEM                  no        ----           
98          b4b4                            TK_ID                   no        ----           
98          .                               TK_DOT                  no        ----           
98          enginedata                      TK_FIELDID              no        ----           
98          .                               TK_DOT                  no        ----           
98          horsepower                      TK_FIELDID              no        ----           
98          <---                            TK_ASSIGNOP             no        ----           
98          200                             TK_NUM                  yes       200            
98          ;                               TK_SEM                  no        ----           
99          b4b4                            TK_ID                   no        ----           
99          .                               TK_DOT                  no        ----           
99          enginedata                      TK_FIELDID              no        ----           
99          .                               TK_DOT                  no        ----           
99          displacement                    TK_FIELDID              no        ----           
99          <---                            TK_ASSIGNOP             no        ----           
99          2.00                            TK_RNUM                 yes       2.0000         
99          ;                               TK_SEM                  no        ----           
100         b4b4                            TK_ID                   no        ----           
100         .                               TK_DOT                  no        ----           
100         enginedata                      TK_FIELDID              no        ----           
100         .                               TK_DOT                  no        ----           
100         cylinders                       TK_FIELDID              no        ----           
100         <---                            TK_ASSIGNOP             no        ----           
100         4                               TK_NUM                  yes       4              
100         ;                               TK_SEM                  no        ----           
101         b4b4                            TK_ID                   no        ----           
101         .                               TK_DOT                  no        ----           
101         bodydata                        TK_FIELDID              no        ----           
101         .                               TK_DOT                  no        ----           
101         weight                          TK_FIELDID              no        ----           
101         <---                            TK_ASSIGNOP             no        ----           
101         1800                            TK_NUM                  yes       1800           
101         ;                               TK_SEM                  no        ----           
102         b4b4                            TK_ID                   no        ----           
102         .                               TK_DOT                  no        ----           
102         bodydata                        TK_FIELDID              no        ----           
102         .                               TK_DOT                  no        ----           
102         length                          TK_FIELDID              no        ----           
102         <---                            TK_ASSIGNOP             no        ----           
102         13.00                           TK_RNUM                 yes       13.0000        
102         ;                               TK_SEM                  no        ----           
103         b4b4                            TK_ID                   no        ----           
103         .                               TK_DOT                  no        ----           
103         bodydata                        TK_FIELDID              no        ----           
103         .                               TK_DOT                  no        ----           
103         width                           TK_FIELDID              no        ----           
103         <---                            TK_ASSIGNOP             no        ----           
103         5.50                            TK_RNUM                 yes       5.5000         
103         ;                               TK_SEM                  no        ----           
104         b4b4                            TK_ID                   no        ----           
104         .                               TK_DOT                  no        ----           
104         sensordata                      TK_FIELDID              no        ----           
104         .                               TK_DOT                  no        ----           
104         isactive                        TK_FIELDID              no        ----           
104         <---                            TK_ASSIGNOP             no        ----           
104         1                               TK_NUM                  yes       1              
104         ;                               TK_SEM                  no        ----           
106         %                               TK_COMMENT              no        ----           
107         b5b5                            TK_ID                   no        ----           
107         .                               TK_DOT                  no        ----           
107         id                              TK_FIELDID              no        ----           
107         <---                            TK_ASSIGNOP             no        ----           
107         1004                            TK_NUM                  yes       1004           
107         ;                               TK_SEM                  no        ----           
108         b5b5                            TK_ID                   no        ----           
108         .                               TK_DOT                  no        ----           
108         enginedata                      TK_FIELDID              no        ----           
108         .                               TK_DOT                  no        ----           
108         horsepower                      TK_FIELDID              no        ----           
108         <---                            TK_ASSIGNOP             no        ----           
108         600                             TK_NUM                  yes       600            
108         ;                               TK_SEM                  no        ----           
109         b5b5                            TK_ID                   no        ----           
109         .                               TK_DOT                  no        ----           
109         enginedata                      TK_FIELDID              no        ----           
109         .                               TK_DOT                  no        ----           
109         displacement                    TK_FIELDID              no        ----           
109         <---                            TK_ASSIGNOP             no        ----           
109         6.20                            TK_RNUM                 yes       6.2000         
109         ;                               TK_SEM                  no        ----           
110         b5b5                            TK_ID                   no        ----           
110         .                               TK_DOT                  no        ----           
110         enginedata                      TK_FIELDID              no        ----           
110         .                               TK_DOT                  no        ----           
110         cylinders                       TK_FIELDID              no        ----           
110         <---                            TK_ASSIGNOP             no        ----           
110         12                              TK_NUM                  yes       12             
110         ;                               TK_SEM                  no        ----           
111         b5b5                            TK_ID                   no        ----           
111         .                               TK_DOT                  no        ----           
111         bodydata                        TK_FIELDID              no        ----           
111         .                               TK_DOT                  no        ----           
111         weight                          TK_FIELDID              no        ----           
111         <---                            TK_ASSIGNOP             no        ----           
111         3000                            TK_NUM                  yes       3000           
111         ;                               TK_SEM                  no        ----           
112         b5b5                            TK_ID                   no        ----           
112         .                               TK_DOT                  no        ----           
112         bodydata                        TK_FIELDID              no        ----           
112         .                               TK_DOT                  no        ----           
112         length                          TK_FIELDID              no        ----           
112         <---                            TK_ASSIGNOP             no        ----           
112         16.00                           TK_RNUM                 yes       16.0000        
112         ;                               TK_SEM                  no        ----           
113         b5b5                            TK_ID                   no        ----           
113         .                               TK_DOT                  no        ----           
113         bodydata                        TK_FIELDID              no        ----           
113         .                               TK_DOT                  no        ----           
113         width                           TK_FIELDID              no        ----           
113         <---                            TK_ASSIGNOP             no        ----           
113         6.50                            TK_RNUM                 yes       6.5000         
113         ;                               TK_SEM                  no        ----           
114         b5b5                            TK_ID                   no        ----           
114         .                               TK_DOT                  no        ----           
114         sensordata                      TK_FIELDID              no        ----           
114         .                               TK_DOT                  no        ----           
114         isactive                        TK_FIELDID              no        ----           
114         <---                            TK_ASSIGNOP             no        ----           
114         1                               TK_NUM                  yes       1              
114         ;                               TK_SEM                  no        ----           
116         %                               TK_COMMENT              no        ----           
117         d2d2                            TK_ID                   no        ----           
117         <---                            TK_ASSIGNOP             no        ----           
117         1                               TK_NUM                  yes       1              
117         ;                               TK_SEM                  no        ----           
119         while                           TK_WHILE                no        ----           
119         (                               TK_OP                   no        ----           
119         d2d2                            TK_ID                   no        ----           
119         <=                              TK_LE                   no        ----           
119         5                               TK_NUM                  yes       5              
119         )                               TK_CL                   no        ----           
120         if                              TK_IF                   no        ----           
120         (                               TK_OP                   no        ----           
120         d2d2                            TK_ID                   no        ----           
120         ==                              TK_EQ                   no        ----           
120         1                               TK_NUM                  yes       1              
120         )                               TK_CL                   no        ----           
120         then                            TK_THEN                 no        ----           
121         write                           TK_WRITE                no        ----           
121         (                               TK_OP                   no        ----           
121         b2b2                            TK_ID                   no        ----           
121         .                               TK_DOT                  no        ----           
121         id                              TK_FIELDID              no        ----           
121         )                               TK_CL                   no        ----           
121         ;                               TK_SEM                  no        ----           
122         [                               TK_SQL                  no        ----           
122         c4c4                            TK_ID                   no        ----           
122         ]                               TK_SQR                  no        ----           
122         <---                            TK_ASSIGNOP             no        ----           
122         call                            TK_CALL                 no        ----           
122         _calculate777                   TK_FUNID                no        ----           
122         power                           TK_FIELDID              no        ----           
122         with                            TK_WITH                 no        ----           
122         parameters                      TK_PARAMETERS           no        ----           
122         [                               TK_SQL                  no        ----           
122         b2b2                            TK_ID                   no        ----           
122         .                               TK_DOT                  no        ----           
122         enginedata                      TK_FIELDID              no        ----           
122         .                               TK_DOT                  no        ----           
122         horsepower                      TK_FIELDID              no        ----           
122         ,                               TK_COMMA                no        ----           
122         b2b2                            TK_ID                   no        ----           
122         .                               TK_DOT                  no        ----           
122         enginedata                      TK_FIELDID              no        ----           
122         .                               TK_DOT                  no        ----           
122         displacement                    TK_FIELDID              no        ----           
122         ]                               TK_SQR                  no        ----           
122         ;                               TK_SEM                  no        ----           
123         write                           TK_WRITE                no        ----           
123         (                               TK_OP                   no        ----           
123         c4c4                            TK_ID                   no        ----           
123         )                               TK_CL                   no        ----           
123         ;                               TK_SEM                  no        ----           
124         endif                           TK_ENDIF                no        ----           
126         if                              TK_IF                   no        ----           
126         (                               TK_OP                   no        ----           
126         d2d2                            TK_ID                   no        ----           
126         ==                              TK_EQ                   no        ----           
126         2                               TK_NUM                  yes       2              
126         )                               TK_CL                   no        ----           
126         then                            TK_THEN                 no        ----           
127         write                           TK_WRITE                no        ----           
127         (                               TK_OP                   no        ----           
127         b3b3                            TK_ID                   no        ----           
127         .                               TK_DOT                  no        ----           
127         id                              TK_FIELDID              no        ----           
127         )                               TK_CL                   no        ----           
127         ;                               TK_SEM                  no        ----           
128         [                               TK_SQL                  no        ----           
128         c4c4                            TK_ID                   no        ----           
128         ]                               TK_SQR                  no        ----           
128         <---                            TK_ASSIGNOP             no        ----           
128         call                            TK_CALL                 no        ----           
128         _calculate777                   TK_FUNID                no        ----           
128         power                           TK_FIELDID              no        ----           
128         with                            TK_WITH                 no        ----           
128         parameters                      TK_PARAMETERS           no        ----           
128         [                               TK_SQL                  no        ----           
128         b3b3                            TK_ID                   no        ----           
128         .                               TK_DOT                  no        ----           
128         enginedata                      TK_FIELDID              no        ----           
128         .                               TK_DOT                  no        ----           
128         horsepower                      TK_FIELDID              no        ----           
128         ,                               TK_COMMA                no        ----           
128         b3b3                            TK_ID                   no        ----           
128         .                               TK_DOT                  no        ----           
128         enginedata                      TK_FIELDID              no        ----           
128         .                               TK_DOT                  no        ----           
128         displacement                    TK_FIELDID              no        ----           
128         ]                               TK_SQR                  no        ----           
128         ;                               TK_SEM                  no        ----           
129         write                           TK_WRITE                no        ----           
129         (                               TK_OP                   no        ----           
129         c4c4                            TK_ID                   no        ----           
129         )                               TK_CL                   no        ----           
129         ;                               TK_SEM                  no        ----           
130         endif                           TK_ENDIF                no        ----           
132         if                              TK_IF                   no        ----           
132         (                               TK_OP                   no        ----           
132         d2d2                            TK_ID                   no        ----           
132         ==                              TK_EQ                   no        ----           
132         3                               TK_NUM                  yes       3              
132         )                               TK_CL                   no        ----           
132         then                            TK_THEN                 no        ----           
133         write                           TK_WRITE                no        ----           
133         (                               TK_OP                   no        ----           
133         b4b4                            TK_ID                   no        ----           
133         .                               TK_DOT                  no        ----           
133         id                              TK_FIELDID              no        ----           
133         )                               TK_CL                   no        ----           
133         ;                               TK_SEM                  no        ----           
134         [                               TK_SQL                  no        ----           
134         c4c4                            TK_ID                   no        ----           
134         ]                               TK_SQR                  no        ----           
134         <---                            TK_ASSIGNOP             no        ----           
134         call                            TK_CALL                 no        ----           
134         _calculate777                   TK_FUNID                no        ----           
134         power                           TK_FIELDID              no        ----           
134         with                            TK_WITH                 no        ----           
134         parameters                      TK_PARAMETERS           no        ----           
134         [                               TK_SQL                  no        ----           
134         b4b4                            TK_ID                   no        ----           
134         .                               TK_DOT                  no        ----           
134         enginedata                      TK_FIELDID              no        ----           
134         .                               TK_DOT                  no        ----           
134         horsepower                      TK_FIELDID              no        ----           
134         ,                               TK_COMMA                no        ----           
134         b4b4                            TK_ID                   no        ----           
134         .                               TK_DOT                  no        ----           
134         enginedata                      TK_FIELDID              no        ----           
134         .                               TK_DOT                  no        ----           
134         displacement                    TK_FIELDID              no        ----           
134         ]                               TK_SQR                  no        ----           
134         ;                               TK_SEM                  no        ----           
135         write                           TK_WRITE                no        ----           
135         (                               TK_OP                   no        ----           
135         c4c4                            TK_ID                   no        ----           
135         )                               TK_CL                   no        ----           
135         ;                               TK_SEM                  no        ----           
136         endif                           TK_ENDIF                no        ----           
138         if                              TK_IF                   no        ----           
138         (                               TK_OP                   no        ----           
138         d2d2                            TK_ID                   no        ----           
138         ==                              TK_EQ                   no        ----           
138         4                               TK_NUM                  yes       4              
138         )                               TK_CL                   no        ----           
138         then                            TK_THEN                 no        ----           
139         write                           TK_WRITE                no        ----           
139         (                               TK_OP                   no        ----           
139         b5b5                            TK_ID                   no        ----           
139         .                               TK_DOT                  no        ----           
139         id                              TK_FIELDID              no        ----           
139         )                               TK_CL                   no        ----           
139         ;                               TK_SEM                  no        ----           
140         [                               TK_SQL                  no        ----           
140         c4c4                            TK_ID                   no        ----           
140         ]                               TK_SQR                  no        ----           
140         <---                            TK_ASSIGNOP             no        ----           
140         call                            TK_CALL                 no        ----           
140         _calculate777                   TK_FUNID                no        ----           
140         power                           TK_FIELDID              no        ----           
140         with                            TK_WITH                 no        ----           
140         parameters                      TK_PARAMETERS           no        ----           
140         [                               TK_SQL                  no        ----           
140         b5b5                            TK_ID                   no        ----           
140         .                               TK_DOT                  no        ----           
140         enginedata                      TK_FIELDID              no        ----           
140         .                               TK_DOT                  no        ----           
140         horsepower                      TK_FIELDID              no        ----           
140         ,                               TK_COMMA                no        ----           
140         b5b5                            TK_ID                   no        ----           
140         .                               TK_DOT                  no        ----           
140         enginedata                      TK_FIELDID              no        ----           
140         .                               TK_DOT                  no        ----           
140         displacement                    TK_FIELDID              no        ----           
140         ]                               TK_SQR                  no        ----           
140         ;                               TK_SEM                  no        ----           
141         write                           TK_WRITE                no        ----           
141         (                               TK_OP                   no        ----           
141         c4c4                            TK_ID                   no        ----           
141         )                               TK_CL                   no        ----           
141         ;                               TK_SEM                  no        ----           
142         endif                           TK_ENDIF                no        ----           
144         if                              TK_IF                   no        ----           
144         (                               TK_OP                   no        ----           
144         d2d2                            TK_ID                   no        ----           
144         ==                              TK_EQ                   no        ----           
144         5                               TK_NUM                  yes       5              
144         )                               TK_CL                   no        ----           
144         then                            TK_THEN                 no        ----           
145         write                           TK_WRITE                no        ----           
145         (                               TK_OP                   no        ----           
145         c2c2                            TK_ID                   no        ----           
145         .                               TK_DOT                  no        ----           
145         id                              TK_FIELDID              no        ----           
145         )                               TK_CL                   no        ----           
145         ;                               TK_SEM                  no        ----           
146         [                               TK_SQL                  no        ----           
146         c4c4                            TK_ID                   no        ----           
146         ]                               TK_SQR                  no        ----           
146         <---                            TK_ASSIGNOP             no        ----           
146         call                            TK_CALL                 no        ----           
146         _calculate777                   TK_FUNID                no        ----           
146         power                           TK_FIELDID              no        ----           
146         with                            TK_WITH                 no        ----           
146         parameters                      TK_PARAMETERS           no        ----           
146         [                               TK_SQL                  no        ----           
146         c2c2                            TK_ID                   no        ----           
146         .                               TK_DOT                  no        ----           
146         enginedata                      TK_FIELDID              no        ----           
146         .                               TK_DOT                  no        ----           
146         horsepower                      TK_FIELDID              no        ----           
146         ,                               TK_COMMA                no        ----           
146         c2c2                            TK_ID                   no        ----           
146         .                               TK_DOT                  no        ----           
146         enginedata                      TK_FIELDID              no        ----           
146         .                               TK_DOT                  no        ----           
146         displacement                    TK_FIELDID              no        ----           
